čь̀rnъ	adj. o	b	čь̀rnъ 		Grammatical information: adj. o 	čь̀rnъ 
brъsnǫti	v.		Slovene:	bŕsniti	[verb]	brъsnǫti; brъknǫti 
brъsnǫti	v.		Bulgarian:	brắsna	[verb]	brъsnǫti; brъknǫti 
brъsnǫti	v.		Lithuanian:	brùkti	[verb]	brъsnǫti; brъknǫti 
brъstь	f. i		brъstь 		Grammatical information: f. i 	brъstь 
brъstь	f. i		Russian:	brost'	[f i]	brъstь 
brъstь	f. i		Ukrainian:	brost'	[f i]	brъstь 
brъstь	f. i		Lower Sorbian:	baršć	[f i]	brъstь 
brъstь	f. i		Serbo-Croatian:	bȓst	[f i]	brъstь 
brъstь	f. i		Slovene:	br̀st	[m o]	brъstь 
brъstь	f. i		Other cognates:	brustian	[verb]	brъstь 
brъzda	f. ā		brъzda 		Grammatical information: f. ā 	brъzda 
brъzda	f. ā		Old Church Slavic:	brъzdami	[Nompf ā]	brъzda 
brъzda	f. ā		Czech:	brzda	[f ā]	brъzda 
brъzda	f. ā		Slovak:	brzda	[f ā]	brъzda 
brъzda	f. ā		Slovene:	bŕzda	[f ā]	brъzda 
brъzda	f. ā		Lithuanian:	bruzdùklis	[m io]	brъzda 
brьdnǫti	v.		brьdnǫti 		Grammatical information: v. 	brьdnǫti 
brьdnǫti	v.		Czech:	břednouti	[verb]	brьdnǫti 
brьdnǫti	v.		Slovak:	bŕdnut'	[verb]	brьdnǫti 
brьdnǫti	v.		Polish:	brnąć	[verb]	brьdnǫti 
brьdnǫti	v.		Lithuanian:	brìsti	[verb]	brьdnǫti 
brьdnǫti	v.		Latvian:	brist	[verb]	brьdnǫti 
brьnьje	n. io		brьnьje 		Grammatical information: n. io 	brьnьje 
brьnьje	n. io		Old Church Slavic:	brьnije	[n io]	brьnьje 
brьnьje	n. io		Church Slavic:	brьnije	[n io]	brьnьje 
brьnьje	n. io		Serbo-Croatian:	brnje	[n io]	brьnьje 
brьnьje	n. io		Slovene:	bȓnje	[n io]	brьnьje 
brьna	f. ā		brьna 		Grammatical information: f. ā 	brьna 
brьna	f. ā		Old Church Slavic:	brъnojǫ	[Inssf ā]	brьna 
brьna	f. ā		Upper Sorbian:	borno	[n o]	brьna 
brьna	f. ā		Serbo-Croatian:	brna	[f ā]	brьna 
brьna	f. ā		Slovene:	bŕna	[f ā]	brьna 
brьvъnò	n. o	b	brьvъnò 		Grammatical information: n. o 	brьvъnò 
brьvъnò	n. o	b	Grammatical information:		Accent paradigm: b 	brьvъnò 
brьvъnò	n. o	b	Old Church Slavic:	brьvьno	[n o]	brьvъnò 
brьvъnò	n. o	b	Russian:	brevnó	[n o]	brьvъnò 
brьvъnò	n. o	b	Czech:	břevno	[n o]	brьvъnò 
brьvъnò	n. o	b	Slovak:	brvno	[n o]	brьvъnò 
brьvъnò	n. o	b	Polish:	bierwiono	[n o]	brьvъnò 
brьvъnò	n. o	b	Serbo-Croatian:	bŕvno	[n o]	brьvъnò 
brьvъnò	n. o	b	Slovene:	bȓvnọ	[n o]	brьvъnò 
bràtъ	m. o	a	bràtrъ; bràtъ 		Grammatical information: m. o 	bràtrъ; bràtъ 
bràtъ	m. o	a	Grammatical information:		Accent paradigm: a 	bràtrъ; bràtъ 
bràtъ	m. o	a	Old Church Slavic:	bratrъ	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Russian:	brat	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Ukrainian:	brat	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Czech:	bratr	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Old Czech:	bratr	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Slovak:	brat(e)r	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Polish:	brat	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Old Polish:	bratr	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Slovincian:	brãt	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Upper Sorbian:	bratr	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Lower Sorbian:	bratr	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Polabian:	brot	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Serbo-Croatian:	brȁt	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Slovene:	bràt	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Bulgarian:	brat	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Macedonian:	brat	[m o]	bràtrъ; bràtъ 
bràtъ	m. o	a	Lithuanian:	brólis	[m io]	bràtrъ; bràtъ 
bràtъ	m. o	a	Latvian:	brãlis	[m io]	bràtrъ; bràtъ 
bràtъ	m. o	a	Old Prussian:	bratrīkai	[Nom p]	bràtrъ; bràtъ 
bràtъ	m. o	a	Other cognates:	φράτηρ	[m]	bràtrъ; bràtъ 
bràtьja	f. jā	a	bràtrьja; bràtьja 		Grammatical information: f. jā 	bràtrьja; bràtьja 
bràtьja	f. jā	a	Grammatical information:		Accent paradigm: a 	bràtrьja; bràtьja 
bràtьja	f. jā	a	Old Church Slavic:	bratrija	[f jā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Russian:	brát'ja	[Nompm o]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Ukrainian:	bráttja	[Nompn jo]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Czech:	bratří	[f iā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Old Czech:	bratř	[f i]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Polish:	bracia	[f jā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Lower Sorbian:	bratśa	[f ā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Polabian:	brot'ă	[Nompm o]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Serbo-Croatian:	brȁća	[f jā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Slovene:	brȃtja	[f jā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Macedonian:	bratija	[f ā]	bràtrьja; bràtьja 
bràtьja	f. jā	a	Other cognates:	φρα̑τρία	[f]	bràtrьja; bràtьja 
bràtrъ	m. o	a	bràtrъ; bràtъ 		Grammatical information: m. o 	bràtrъ; bràtъ 
bràtrъ	m. o	a	Grammatical information:		Accent paradigm: a 	bràtrъ; bràtъ 
bràtrъ	m. o	a	Old Church Slavic:	bratrъ	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Russian:	brat	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Ukrainian:	brat	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Czech:	bratr	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Old Czech:	bratr	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Slovak:	brat(e)r	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Polish:	brat	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Old Polish:	bratr	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Slovincian:	brãt	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Upper Sorbian:	bratr	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Lower Sorbian:	bratr	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Polabian:	brot	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Serbo-Croatian:	brȁt	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Slovene:	bràt	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Bulgarian:	brat	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Macedonian:	brat	[m o]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Lithuanian:	brólis	[m io]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Latvian:	brãlis	[m io]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Old Prussian:	bratrīkai	[Nom p]	bràtrъ; bràtъ 
bràtrъ	m. o	a	Other cognates:	φράτηρ	[m]	bràtrъ; bràtъ 
bràtrьja	f. jā	a	bràtrьja; bràtьja 		Grammatical information: f. jā 	bràtrьja; bràtьja 
bràtrьja	f. jā	a	Grammatical information:		Accent paradigm: a 	bràtrьja; bràtьja 
brězgъ	m. o		brězgъ 		Grammatical information: m. o 	brězgъ 
brězgъ	m. o		Old Church Slavic:	probrězgъ	[m o]	brězgъ 
brězgъ	m. o		Russian:	brezg	[m o]	brězgъ 
brězgъ	m. o		Czech:	rozbřesk	[m o]	brězgъ 
brězgъ	m. o		Old Czech:	březk	[m o]	brězgъ 
brězgъ	m. o		Polish:	brzask	[m o]	brězgъ 
brězgъ	m. o		Old Polish:	brzazg	[m o]	brězgъ 
brězgъ	m. o		Slovene:	brẹ̑sk	[m o]	brězgъ 
brězgъ	m. o		Lithuanian:	brė́kšti	[verb]	brězgъ 
brězgъ	m. o		Other cognates:	bhrājate	[verb]	brězgъ 
bręždžati	v.		bręždžati 		Grammatical information: v. 	bręždžati 
bręždžati	v.		Russian:	brjazžát'	[verb]	bręždžati 
bręždžati	v.		Ukrainian:	brjazčáty	[verb]	bręždžati 
bręždžati	v.		Lithuanian:	breñgzti	[verb]	bręždžati 
brę̀knǫti	v.	a	brę̀knǫti 		Grammatical information: v. 	brę̀knǫti 
brę̀knǫti	v.	a	Grammatical information:		Accent paradigm: a 	brę̀knǫti 
brę̀knǫti	v.	a	Russian:	brjáknut'	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Belorussian:	brjáknuc'	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Ukrainian:	brjáknuty	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Serbo-Croatian:	bréknuti	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Bulgarian:	brékna	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Macedonian:	brékna	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Lithuanian:	brìnkti	[verb]	brę̀knǫti 
brę̀knǫti	v.	a	Other cognates:	bringa	[f]	brę̀knǫti 
brediti	v.		brediti 		Grammatical information: v. 	brediti 
brediti	v.		Russian:	brédit'	[verb]	brediti 
brediti	v.		Ukrainian:	brediti	[verb]	brediti 
brediti	v.		Czech:	bředit se	[verb]	brediti 
brediti	v.		Polish:	bredzić	[verb]	brediti 
brediti	v.		Lithuanian:	brẽdyti	[verb]	brediti 
brestì	v.	c?	brestì 		Grammatical information: v. 	brestì 
brestì	v.	c?	Grammatical information:		Accent paradigm: c? 	brestì 
brestì	v.	c?	Church Slavic:	bresti	[verb]	brestì 
brestì	v.	c?	Russian:	brestí	[verb]	brestì 
brestì	v.	c?	Ukrainian:	brestý	[verb]	brestì 
brestì	v.	c?	Old Czech:	břísti	[verb]	brestì 
brestì	v.	c?	Slovak:	bŕst'	[verb]	brestì 
brestì	v.	c?	Slovincian:	brȧ̃sc	[verb]	brestì 
brestì	v.	c?	Polabian:	bradĕ	[1sg]	brestì 
brestì	v.	c?	Slovene:	brésti	[verb]	brestì 
brestì	v.	c?	Lithuanian:	brìsti	[verb]	brestì 
brestì	v.	c?	Latvian:	brist	[verb]	brestì 
brestì	v.	c?	Other cognates:	bredh	[verb]	brestì 
bričь	m. jo		bričь 		Grammatical information: m. jo 	bričь 
bričь	m. jo		Church Slavic:	bričь	[m jo]	bričь 
bričь	m. jo		Serbo-Croatian:	brȋč	[m jo]	bričь 
bričь	m. jo		Bulgarian:	brič	[m jo]	bričь 
brìti	v.	a	brìti 		Grammatical information: v. 	brìti 
brìti	v.	a	Grammatical information:		Accent paradigm: a 	brìti 
brìti	v.	a	Church Slavic:	briti sę	[verb]	brìti 
brìti	v.	a	Russian:	brit'	[verb]	brìti 
brìti	v.	a	Czech:	bříti	[verb]	brìti 
brìti	v.	a	Slovak:	brit'	[verb]	brìti 
brìti	v.	a	Serbo-Croatian:	brȉti	[verb]	brìti 
brìti	v.	a	Slovene:	bríti	[verb]	brìti 
brìti	v.	a	Bulgarian:	bríja	[verb]	brìti 
brìti	v.	a	Other cognates:	bhrīṇā́ti	[verb]	brìti 
brìtva	f. ā	a	brìtva 		Grammatical information: f. ā 	brìtva 
brìtva	f. ā	a	Grammatical information:		Accent paradigm: a 	brìtva 
brìtva	f. ā	a	Old Church Slavic:	britva	[f ā]	brìtva 
brìtva	f. ā	a	Russian:	brítva	[f ā]	brìtva 
brìtva	f. ā	a	Czech:	břitva	[f ā]	brìtva 
brìtva	f. ā	a	Slovak:	britva	[f ā]	brìtva 
brìtva	f. ā	a	Polish:	brzytwa	[f ā]	brìtva 
brìtva	f. ā	a	Serbo-Croatian:	brȉtva	[f ā]	brìtva 
brìtva	f. ā	a	Slovene:	brȋtva	[f ā]	brìtva 
bridъ	m. o		bridъ; bridь 		Grammatical information: m. o 	bridъ; bridь 
bridъ	m. o		Russian:	bryd	[m o]	bridъ; bridь 
bridъ	m. o		Serbo-Croatian:	brȋd	[m o]	bridъ; bridь 
bridъ	m. o		Slovene:	brȋd	[f i]	bridъ; bridь 
bridъkъ	adj. o		bridъkъ 		Grammatical information: adj. o 	bridъkъ 
bridъkъ	adj. o		Old Church Slavic:	bridъkъ	[adj o]	bridъkъ 
bridъkъ	adj. o		Russian:	brídkij	[adj o]	bridъkъ 
bridъkъ	adj. o		Czech:	břitký	[adj o]	bridъkъ 
bridъkъ	adj. o		Old Czech:	břidký	[adj o]	bridъkъ 
bridъkъ	adj. o		Slovak:	britký	[adj o]	bridъkъ 
bridъkъ	adj. o		Polish:	brzydki	[adj o]	bridъkъ 
bridъkъ	adj. o		Upper Sorbian:	britki	[adj o]	bridъkъ 
bridъkъ	adj. o		Serbo-Croatian:	brȉdak	[adj o]	bridъkъ 
bridъkъ	adj. o		Slovene:	brídǝk	[adj o]	bridъkъ 
bridь	m. o		bridъ; bridь 		Grammatical information: m. o 	bridъ; bridь 
bridь	m. o		Russian:	bryd	[m o]	bridъ; bridь 
bridь	m. o		Serbo-Croatian:	brȋd	[m o]	bridъ; bridь 
bridь	m. o		Slovene:	brȋd	[f i]	bridъ; bridь 
brȏdъ	m. o	c	brȏdъ 		Grammatical information: m. o 	brȏdъ 
brȏdъ	m. o	c	Grammatical information:		Accent paradigm: c 	brȏdъ 
brȏdъ	m. o	c	Church Slavic:	brodъ	[m o]	brȏdъ 
brȏdъ	m. o	c	Russian:	brod	[m o]	brȏdъ 
brȏdъ	m. o	c	Ukrainian:	brid	[m o]	brȏdъ 
brȏdъ	m. o	c	Czech:	brod	[m o]	brȏdъ 
brȏdъ	m. o	c	Slovak:	brod	[m o]	brȏdъ 
brȏdъ	m. o	c	Polish:	bród	[m o]	brȏdъ 
brȏdъ	m. o	c	Upper Sorbian:	bród	[m o]	brȏdъ 
brȏdъ	m. o	c	Lower Sorbian:	brod	[m o]	brȏdъ 
brȏdъ	m. o	c	Serbo-Croatian:	brȏd	[m o]	brȏdъ 
brȏdъ	m. o	c	Slovene:	brọ̑d	[m o]	brȏdъ 
brȏdъ	m. o	c	Bulgarian:	brod	[m o]	brȏdъ 
brȏdъ	m. o	c	Lithuanian:	brãdas	[m o]	brȏdъ 
brȏdъ	m. o	c	Latvian:	brads	[m o]	brȏdъ 
brodìti	v.		brodìti 		Grammatical information: v. 	brodìti 
brodìti	v.		Church Slavic:	broditi	[verb]	brodìti 
brodìti	v.		Russian:	brodít'	[verb]	brodìti 
brodìti	v.		Czech:	broditi	[verb]	brodìti 
brodìti	v.		Slovak:	brodit' (sa)	[verb]	brodìti 
brodìti	v.		Polish:	brodzić	[verb]	brodìti 
brodìti	v.		Upper Sorbian:	brodźić	[verb]	brodìti 
brodìti	v.		Lower Sorbian:	broziś	[verb]	brodìti 
brodìti	v.		Serbo-Croatian:	bròditi	[verb]	brodìti 
brodìti	v.		Slovene:	bróditi	[verb]	brodìti 
brodìti	v.		Bulgarian:	bródja	[verb]	brodìti 
brodìti	v.		Lithuanian:	bra(i)dýti	[verb]	brodìti 
bronъ	adj. o		bronъ 		Grammatical information: adj. o 	bronъ 
bronъ	adj. o		Church Slavic:	bronъ	[adj o]	bronъ 
bronъ	adj. o		Old Russian:	bronii	[adj o]	bronъ 
bronъ	adj. o		Czech:	broný	[adj o]	bronъ 
bronъ	adj. o		Old Czech:	broný	[adj o]	bronъ 
bronъ	adj. o		Other cognates:	bradhná-	[adj]	bronъ 
brusьnica	f. jā		brusьnica 		Grammatical information: f. jā 	brusьnica 
brusьnica	f. jā		Russian:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Czech:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Slovak:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Polish:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Serbo-Croatian:	Vaccinium myrtillus	[f jā]	brusьnica 
brusьnica	f. jā		Slovene:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Bulgarian:	Vaccinium vitis-idaea	[f jā]	brusьnica 
brusьnica	f. jā		Lithuanian:	Vaccinium vitis-idaea	[f ē]	brusьnica 
brusьnica	f. jā		Latvian:	Vaccinium vitis-idaea	[f ē]	brusьnica 
brutъ	m. o		brutъ 		Grammatical information: m. o 	brutъ 
brutъ	m. o		Church Slavic:	brutъ	[m o]	brutъ 
brutъ	m. o		Serbo-Croatian:	brȕt	[m o]	brutъ 
brutъ	m. o		Bulgarian:	brut	[m o]	brutъ 
brutъ	m. o		Lithuanian:	braũktas	[m o]	brutъ 
bry	f. ū		bry 		Grammatical information: f. ū 	bry 
bry	f. ū		Old Church Slavic:	brьvьmi	[Inspf ū]	bry 
bry	f. ū		Russian:	brov'	[f i]	bry 
bry	f. ū		Czech:	brva	[f ā]	bry 
bry	f. ū		Old Czech:	brev	[f i]	bry 
bry	f. ū		Slovak:	brva	[f ā]	bry 
bry	f. ū		Polish:	brew	[f i]	bry 
bry	f. ū		Serbo-Croatian:	bȓv	[f i]	bry 
bry	f. ū		Lithuanian:	bruvìs	[f i]	bry 
bry	f. ū		Other cognates:	bhrūḥ	[f]	bry 
brysadlo	n. o		brysadlo 		Grammatical information: n. o 	brysadlo 
brysadlo	n. o		Old Church Slavic:	brysalo	[n o]	brysadlo 
brysadlo	n. o		Serbo-Croatian:	brȉsalo	[n o]	brysadlo 
brysadlo	n. o		Slovene:	brisálọ	[n o]	brysadlo 
bùr̨a	f. jā	a	bùr̨a 		Grammatical information: f. jā 	bùr̨a 
bùr̨a	f. jā	a	Grammatical information:		Accent paradigm: a 	bùr̨a 
bùr̨a	f. jā	a	Old Church Slavic:	burja	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Russian:	búrja	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Czech:	bouře	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Slovak:	búra	[f ā]	bùr̨a 
bùr̨a	f. jā	a	Polish:	burza	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Serbo-Croatian:	bȕra	[f ā]	bùr̨a 
bùr̨a	f. jā	a	Slovene:	búrja	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Bulgarian:	búrja	[f jā]	bùr̨a 
bùr̨a	f. jā	a	Latvian:	baũr̨uôt	[verb]	bùr̨a 
bùr̨a	f. jā	a	Other cognates:	būra	[verb]	bùr̨a 
bujь	adj. jo		bujь 		Grammatical information: adj. jo 	bujь 
bujь	adj. jo		Old Church Slavic:	bui	[adj jo]	bujь 
bujь	adj. jo		Old Czech:	buj	[adj jo]	bujь 
bujьnъ	adj. o		bujьnъ 		Grammatical information: adj. o 	bujьnъ 
bujьnъ	adj. o		Church Slavic:	buino	[adv]	bujьnъ 
bujьnъ	adj. o		Russian:	bújny	[adj o]	bujьnъ 
bujьnъ	adj. o		Czech:	bujný	[adj o]	bujьnъ 
bujьnъ	adj. o		Slovak:	bujný	[adj o]	bujьnъ 
bujьnъ	adj. o		Polish:	bujny	[adj o]	bujьnъ 
bujьnъ	adj. o		Serbo-Croatian:	bȗjan	[adj o]	bujьnъ 
bujьnъ	adj. o		Slovene:	bújǝn	[adj o]	bujьnъ 
bỳstrъ	adj. o	a	bỳstrъ 		Grammatical information: adj. o 	bỳstrъ 
bỳstrъ	adj. o	a	Grammatical information:		Accent paradigm: a 	bỳstrъ 
bỳstrъ	adj. o	a	Old Church Slavic:	bystrъ	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Russian:	býstryj	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Czech:	bystrý	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Slovak:	bystrý	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Polish:	bystry	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Serbo-Croatian:	bȉstar	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Slovene:	bístǝr	[adj o]	bỳstrъ 
bỳstrъ	adj. o	a	Bulgarian:	bístăr	[adj o]	bỳstrъ 
bỳti	v.	a	bỳti 		Grammatical information: v. 	bỳti 
bỳti	v.	a	Grammatical information:		Accent paradigm: a 	bỳti 
bỳti	v.	a	Old Church Slavic:	byti	[verb]	bỳti 
bỳti	v.	a	Russian:	byt'	[verb]	bỳti 
bỳti	v.	a	Czech:	býti	[verb]	bỳti 
bỳti	v.	a	Slovak:	byt'	[verb]	bỳti 
bỳti	v.	a	Polish:	być	[verb]	bỳti 
bỳti	v.	a	Serbo-Croatian:	bȉti	[verb]	bỳti 
bỳti	v.	a	Slovene:	bíti	[verb]	bỳti 
bỳti	v.	a	Lithuanian:	bū́ti	[verb]	bỳti 
bỳti	v.	a	Latvian:	bût	[verb]	bỳti 
bỳti	v.	a	Other cognates:	φύομαι	[verb]	bỳti 
bydlo	n. o		bydlo 		Grammatical information: n. o 	bydlo 
bydlo	n. o		Russian:	býdlo	[n o]	bydlo 
bydlo	n. o		Old Russian:	bydlo	[n o]	bydlo 
bydlo	n. o		Belorussian:	býdlo	[n o]	bydlo 
bydlo	n. o		Ukrainian:	býdlo	[n o]	bydlo 
bydlo	n. o		Czech:	bydlo	[n o]	bydlo 
bydlo	n. o		Slovak:	bydlo	[n o]	bydlo 
bydlo	n. o		Polish:	bydɫo	[n o]	bydlo 
bydlo	n. o		Old Polish:	bydɫo	[n o]	bydlo 
bydlo	n. o		Slovincian:	bï̂dlo	[n o]	bydlo 
bydlo	n. o		Lithuanian:	būklas	[m o]	bydlo 
bylьje	io		bylьje 		Grammatical information: io 	bylьje 
bylьje	io		Old Church Slavic:	bylije	[n io]	bylьje 
bylьje	io		Russian:	byl'ë	[n io]	bylьje 
bylьje	io		Czech:	býlí	[n io]	bylьje 
bylьje	io		Slovak:	býlie	[n io]	bylьje 
bylьje	io		Old Polish:	byle	[n io]	bylьje 
bylьje	io		Serbo-Croatian:	bȋlje	[n jo]	bylьje 
bylьje	io		Slovene:	bȋlje	[n jo]	bylьje 
bytьje	n. io		bytьje 		Grammatical information: n. io 	bytьje 
bytьje	n. io		Old Church Slavic:	bytije	[n io]	bytьje 
bytьje	n. io		Russian:	byt'ë	[n io]	bytьje 
bytьje	n. io		Czech:	byt́	[n io]	bytьje 
bytьje	n. io		Slovak:	bytie	[n io]	bytьje 
bytьje	n. io		Polish:	bycie	[n jo]	bytьje 
bytьje	n. io		Serbo-Croatian:	bíće	[n jo]	bytьje 
bytьje	n. io		Slovene:	bítje	[n jo]	bytьje 
bytьje	n. io		Bulgarian:	bitié	[n jo]	bytьje 
byvati	v.		byvati 		Grammatical information: v. 	byvati 
byvati	v.		Old Church Slavic:	byvati	[verb]	byvati 
byvati	v.		Russian:	byvát'	[verb]	byvati 
byvati	v.		Czech:	bývati	[verb]	byvati 
byvati	v.		Polish:	bywać	[verb]	byvati 
byvati	v.		Serbo-Croatian:	bívati	[verb]	byvati 
byvati	v.		Slovene:	bívati	[verb]	byvati 
byvati	v.		Bulgarian:	bívam	[verb]	byvati 
byvati	v.		Lithuanian:	buvóti	[verb]	byvati 
cè̌sta	f. ā	a	cè̌sta 		Grammatical information: f. ā 	cè̌sta 
cè̌sta	f. ā	a	Grammatical information:		Accent paradigm: a 	cè̌sta 
cè̌sta	f. ā	a	Old Church Slavic:	cěsta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Church Slavic:	cěsta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Czech:	cesta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Old Czech:	cěsta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Slovak:	cesta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Serbo-Croatian:	cȅsta	[f ā]	cè̌sta 
cè̌sta	f. ā	a	Slovene:	cẹ́sta	[f ā]	cè̌sta 
cě̄dìti	v.	c	cě̄dìti 		Grammatical information: v. 	cě̄dìti 
cě̄dìti	v.	c	Grammatical information:		Accent paradigm: c 	cě̄dìti 
cě̄dìti	v.	c	Church Slavic:	cěditi	[verb]	cě̄dìti 
cě̄dìti	v.	c	Russian:	cedít'	[verb]	cě̄dìti 
cě̄dìti	v.	c	Czech:	cediti	[verb]	cě̄dìti 
cě̄dìti	v.	c	Slovak:	cedit'	[verb]	cě̄dìti 
cě̄dìti	v.	c	Polish:	cedzić	[verb]	cě̄dìti 
cě̄dìti	v.	c	Slovincian:	cìe̯ʒĕc	[verb]	cě̄dìti 
cě̄dìti	v.	c	Upper Sorbian:	cydźić	[verb]	cě̄dìti 
cě̄dìti	v.	c	Serbo-Croatian:	cijèditi	[verb]	cě̄dìti 
cě̄dìti	v.	c	Slovene:	cẹdíti	[verb]	cě̄dìti 
cě̄dìti	v.	c	Bulgarian:	cedjá	[verb]	cě̄dìti 
cě̄dìti	v.	c	Lithuanian:	skíesti	[verb]	cě̄dìti 
cě̄dìti	v.	c	Latvian:	šk̨iêst	[verb]	cě̄dìti 
cě̄dìti	v.	c	Other cognates:	skíta	[verb]	cě̄dìti 
cě̄lìti	v.	c	cě̄lìti 		Grammatical information: v. 	cě̄lìti 
cě̄lìti	v.	c	Grammatical information:		Accent paradigm: c 	cě̄lìti 
cě̄lìti	v.	c	Old Church Slavic:	cěliti	[verb]	cě̄lìti 
cě̄lìti	v.	c	Russian:	celít'	[verb]	cě̄lìti 
cě̄lìti	v.	c	Ukrainian:	cilýty	[verb]	cě̄lìti 
cě̄lìti	v.	c	Czech:	celiti	[verb]	cě̄lìti 
cě̄lìti	v.	c	Upper Sorbian:	cylić	[verb]	cě̄lìti 
cě̄lìti	v.	c	Serbo-Croatian:	cijèliti	[verb]	cě̄lìti 
cě̄lìti	v.	c	Slovene:	cẹ́liti	[verb]	cě̄lìti 
cě̄nà	f. ā	c	cě̄nà 		Grammatical information: f. ā 	cě̄nà 
cě̄nà	f. ā	c	Grammatical information:		Accent paradigm: c 	cě̄nà 
cě̄nà	f. ā	c	Old Church Slavic:	cěna	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Russian:	cená	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Ukrainian:	ciná	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Czech:	cena	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Slovak:	cena	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Polish:	cena	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Serbo-Croatian:	cijèna	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Slovene:	cẹ́na	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Bulgarian:	cená	[f ā]	cě̄nà 
cě̄nà	f. ā	c	Lithuanian:	káina	[f ā]	cě̄nà 
