oklam	[ˈoklam]
Jižní Korea	[jɪʒɲiː korɛa]
jižně	[ˈjɪʒɲɛ]
jmelí	[ˈjmɛliː]
jménem	[ˈjmɛːnɛm]
jmeniny	[ˈjmɛɲɪnɪ]
jmenný prostor	[jmɛniː prostor]
jméno	/ˈjmɛːno/
jmenování	[ˈjmɛnovaːɲiː]
jmenovat	/ˈjmɛnovat/
jmenovatel	[ˈjmɛnovatɛl]
jmenovec	[ˈjmɛnovɛt͡s]
jmenovitý	[ˈjmɛnovɪtiː]
jmenovitě	[ˈjmɛnovɪcɛ]
jmenovkyně	[ˈjmɛnofkɪɲɛ]
Jmenuju se...	[jmɛnuju sɛ]
jmout	[ˈjmou̯t]
jo	[ˈjo]
jód	[ˈjoːt]
jódlování	[ˈjoːdlovaːɲiː]
jódlovat	[ˈjoːdlovat]
jódlovačka	[ˈjoːdlovat͡ʃka]
jodovodík	[ˈjodovoɟiːk]
jogurt	/ˈjoɡurt/
Johana	[ˈjoɦana]
Johanin	[ˈjoɦaɲɪn]
Johanka	[ˈjoɦaŋka]
Jola	[ˈjola]
Jolana	[Ëˆjolana]
Jolanin	[ˈjolaɲɪn]
Jolanka	[ˈjolaŋka]
jolek	/jolÉ›k/
jolka	[ˈjolka]
Jom kipur	[jom kɪpur]
jomkipurský	[ˈjomkɪpurskiː]
Jonáš	[ˈjonaːʃ]
Jonášek	[ˈjonaːʃɛk]
jora	[jora]
Jordán	[ˈjordaːn]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
Jordánec	[ˈjordaːnɛt͡s]
Jordánka	[ˈjordaːŋka]
Jordánsko	[ˈjordaːnsko]
jordánský	[ˈjordaːnskiː]
Joron	[ˈjoron]
joronština	[ˈjoronʃcɪna]
Josef	[ˈjozɛf]
Josefínin	[ˈjosɛfiːɲɪn]
Josefův	[ˈjosɛfuːf]
Josífek	[ˈjosiːfɛk]
joule	[ˈdʒau̯l]
Joža	[ˈjoʒa]
Jožánek	[ˈjoʒaːnɛk]
Jožka	[ˈjoʃka]
jsem	[ˈjsɛm]
Jsem z...	[jsɛm s]
jseš	/jsɛʃ/
jsme	[ˈjsmɛ]
jsou	[sou̯]
jste	[ˈjstɛ]
jsu	/su/
Judita	[ˈjuɟɪta]
judo	[ˈdʒudo]
Jugoslávec	[ˈjuɡoslaːvɛt͡s]
Jugoslávie	[ˈjuɡoslaːvɪjɛ]
Jugoslávka	[ˈjuɡoslaːfka]
jugoslávský	[ˈjuɡoslaːfskiː]
juknout	[ˈjuknou̯t]
Jula	[ˈjula]
Julek	[ˈjulɛk]
Julinka	[ˈjulɪŋka]
Julius	[ˈjulɪus]
Julka	[ˈjulka]
Julčin	[ˈjult͡ʃɪn]
Jungmannův	[ˈjuŋɡmanuːf]
junkce	[ˈjuŋkt͡sɛ]
jupí	[ˈjupiː]
Jupiter	[ˈjupɪtɛr]
Jupiterův	[ˈjupɪtɛruːf]
Jura	[ˈjura]
jura	[ˈjura]
jurský	[ˈjurskiː]
Jurčík	/ˈjurtʃiːk/
Justa	[ˈjusta]
Justýna	[ˈjustiːna]
Justýnin	[ˈjustiːɲɪn]
Justýnka	[ˈjustiːŋka]
juta	[Ëˆjuta]
Jutsko	[ˈjutsko]
juvie ztepilá	[juvɪɛ stɛpɪlaː]
k	[k]
ká	/kaː/
kabát	[ˈkabaːt]
kabátek	[ˈkabaːtɛk]
kabel	/kabɛl/
kabelka	[ˈkabɛlka]
kábr	[ˈkaːbr̩]
Kábul	[ˈkaːbul]
Kábulan	[ˈkaːbulan]
kácení	[ˈkaːt͡sɛɲiː]
kácet	[ˈkaːt͡sɛt]
káchat	[ˈkaːxat]
kachle	[ˈkaxlɛ]
kachna	/ˈkaxna/
kachní	[ˈkaxɲiː]
kachnice	[ˈkaxɲɪt͡sɛ]
kachnička	/ˈkaxɲɪt͡ʃka/
kachnička mandarinská	[kaxɲɪt͡ʃka mandarɪnskaː]
kacíř	[ˈkat͡siːr̝̊]
kacířský	[ˈkat͡siːr̝̊skiː]
kacířství	[ˈkat͡siːr̝̊stviː]
kadeř	[ˈkadɛr̝̊]
Kadeřábek	[ˈkadɛr̝aːbɛk]
kadeřavá kapusta	[kadɛr̝avaː kapusta]
kadeřávek	[ˈkadɛr̝aːvɛk]
kadeřnictví	/ˈkadɛr̝ɲɪt͡stviː/
kadeřník	/ˈkadɛr̝ɲiːk/
kadí	[ˈkaɟiː]
kadibouda	[ˈkaɟɪbou̯da]
kadibudka	[ˈkaɟɪbutka]
kadidlo	[ˈkaɟɪdlo]
kadilo	[ˈkaɟɪlo]
kadit	[ˈkaɟɪt]
Kadlec	[ˈkadlɛt͡s]
Kadlecová	[ˈkadlɛt͡sovaː]
kafe	[ˈkafɛ]
kafemlejnek	[ˈkafɛmlɛjnɛk]
káfir	[ˈkaːfɪr]
kafíčko	[ˈkafiːt͡ʃko]
Kafkův	[ˈkafkuːf]
kafrat	/ˈkafrat/
Káhira	[ˈkaːɦɪra]
Káhiřan	[ˈkaːɦɪr̝an]
kaj	[Ëˆkaj]
Kája	[ˈkaːja]
kajak	[ˈkajak]
kajka	[ˈkajka]
kajuta	/ˈkajuta/
kajčí	[ˈkajt͡ʃiː]
kakadu	[ˈkakadu]
kakapo	[ˈkakapo]
kakat	[ˈkakat]
kakraholte	[ˈkakraɦoltɛ]
kaktus	[ˈkaktus]
kal	[ˈkal]
kalandra	[ˈkalandra]
Kalas	[ˈkalas]
kalba	[ˈkalba]
kale	[ˈkalɛ]
kálel	[ˈkaːlɛl]
kalen	[ˈkalɛn]
kálen	[ˈkaːlɛn]
kalena	[ˈkalɛna]
kálena	[ˈkaːlɛna]
kalendář	[ˈkalɛndaːr̝̊]
kalendářní	[ˈkalɛndaːr̝ɲiː]
kaleni	[ˈkalɛɲɪ]
káleni	[ˈkaːlɛɲɪ]
kaleno	[ˈkalɛno]
káleno	[ˈkaːlɛno]
kaleny	[ˈkalɛnɪ]
káleny	[ˈkaːlɛnɪ]
kálet	[ˈkaːlɛt]
kalhotky	/kalɦɔtkɪ/
kalhoty	/ˈkalɦotɪ/
kalí	[ˈkaliː]
Kálí	[ˈkaːliː]
kálí	[ˈkaːliː]
kalibrace	[ˈkalɪbrat͡sɛ]
kalibrovat	[ˈkalɪbrovat]
kalíc	[ˈkaliːt͡s]
kalíce	[ˈkaliːt͡sɛ]
kalich	[ˈkalɪx]
kalifornium	/kalɪfornɪjʊm/
kalil	[ˈkalɪl]
kalila	[ˈkalɪla]
kalili	[ˈkalɪlɪ]
kalilo	[ˈkalɪlo]
kalily	[ˈkalɪlɪ]
kalím	[ˈkaliːm]
kálím	[ˈkaːliːm]
kalíme	[ˈkaliːmɛ]
kálíme	[ˈkaːliːmɛ]
kalit	[ˈkalɪt]
kalíte	[ˈkaliːtɛ]
kálíte	[ˈkaːliːtɛ]
kalíš	[ˈkaliːʃ]
kálíš	[ˈkaːliːʃ]
kališník	/ˈkalɪʃɲiːk/
kalk	/ˈkalk/
Kalkata	[ˈkalkata]
kalkatský	[ˈkalkatskiː]
kalkul	[ˈkalkul]
kalkulace	[ˈkalkulat͡sɛ]
kalkulačka	[ˈkalkulat͡ʃka]
kalkulovat	[ˈkalkulovat]
kalme	[ˈkalmɛ]
kalous	[ˈkalou̯s]
kalte	[ˈkaltɛ]
kaluž	[ˈkaluʃ]
kam	/kam/
kamarád	/ˈkamaraːt/
kamarádka	/ˈkamaraːtka/
kamarádství	[ˈkamaraːtstviː]
kamarádčin	[ˈkamaraːt͡ʃɪn]
kamarádšoft	[ˈkamaraːtʃoft]
Kambodža	[ˈkambodʒa]
Kambodžan	[ˈkambodʒan]
Kambodžanka	[ˈkambodʒaŋka]
kambodžský	[ˈkambotʃskiː]
kamélie	[ˈkamɛːlɪjɛ]
kámen	/ˈkaːmɛn/
kámen mudrců	[kaːmɛn mudr̩t͡suː]
kamenáček	[kamɛnaːtʃɛk]
kamének	[ˈkamɛːnɛk]
kamení	[ˈkamɛɲiː]
kameník	[ˈkamɛɲiːk]
kameníček	[ˈkamɛɲiːt͡ʃɛk]
Kameníček	[ˈkamɛɲiːt͡ʃɛk]
Kameníčkův	[ˈkamɛɲiːt͡ʃkuːf]
kamenný	/ˈkamɛniː/
kamenolom	[ˈkamɛnolom]
kamenovat	[ˈkamɛnovat]
kamenět	[ˈkamɛɲɛt]
kamer	/ˈkamɛr/
kamera	/ˈkamɛra/
kamero	/ˈkamɛro/
kameru	/ˈkamɛrʊ/
Kamerun	[ˈkamɛrun]
Kamerunec	[ˈkamɛrunɛt͡s]
kamerunský	[ˈkamɛrunskiː]
kamikadze	[ˈkamɪkadzɛ]
kamikadzem	[ˈkamɪkadzɛm]
kamikaze	[ˈkamɪkazɛ]
Kamil	[ˈkamɪl]
Kamila	[ˈkamɪla]
Kamilin	[ˈkamɪlɪn]
Kamilka	[ˈkamɪlka]
kamínek	[ˈkamiːnɛk]
kamna	[ˈkamna]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
kámoš	[ˈkaːmoʃ]
kampaň	[ˈkampaɲ]
kamzice	[ˈkamzɪt͡sɛ]
kamzík	[ˈkamziːk]
kamzičí	[ˈkamzɪt͡ʃiː]
Kamča	[ˈkamt͡ʃa]
kanadský	[ˈkanatskiː]
kanál	[ˈkanaːl]
kanálek	[ˈkanaːlɛk]
kanalizace	[ˈkanalɪzat͡sɛ]
kanape	[ˈkanapɛ]
kanár	[ˈkanaːr]
Kanaďanka	[ˈkanaɟaŋka]
kancelář	/ˈkant͡sɛlaːr̝̊/
kancelářská židle	[kant͡sɛlaːr̝̊skaː ʒɪdlɛ]
kancelářský	[ˈkant͡sɛlaːr̝̊skiː]
kandidát	[ˈkandɪdaːt]
kandidátní	[ˈkandɪdaːtɲiː]
kandidatura	[ˈkandɪdatura]
kandidovat	[ˈkandɪdovat]
kandidóza	[ˈkandɪdoːza]
kanec	/ˈkanɛt͡s/
kanón	[ˈkanoːn]
kánon	[ˈkaːnon]
kanonický	[ˈkanonɪt͡skiː]
kanonický tvar	[kanoɲɪt͡skiː tvar]
kantáta	[ˈkantaːta]
Kanton	[Ëˆkanton]
kantonština	[ˈkantonʃcɪna]
kantovec	[ˈkantovɛt͡s]
kantůrek	[ˈkantuːrɛk]
Kantův	[ˈkantuːf]
kančí	[ˈkant͡ʃiː]
káně	[ˈkaːɲɛ]
kapacita	[ˈkapat͡sɪta]
kapal	[Ëˆkapal]
kapala	[Ëˆkapala]
kapali	[ˈkapalɪ]
kapalina	[ˈkapalɪna]
kapalný	[ˈkapalniː]
kapalo	[Ëˆkapalo]
kapaly	[ˈkapalɪ]
kapat	[ˈkapat]
kapavka	[ˈkapafka]
kapela	[ˈkapɛla]
kapénka	[ˈkapɛːŋka]
kapénkový	[ˈkapɛːŋkoviː]
kapesné	[ˈkapɛsnɛː]
kapesní	[ˈkapɛsɲiː]
kapesník	[ˈkapɛsɲiːk]
kapesníček	[ˈkapɛsɲiːt͡ʃɛk]
kapilární	[ˈkapɪlaːrɲiː]
kapitál	[ˈkapɪtaːl]
kapitalismus	[ˈkapɪtalɪzmus]
kapitalista	[ˈkapɪtalɪsta]
kapitalistický	[ˈkapɪtalɪstɪt͡skiː]
kapitalizmus	[ˈkapɪtalɪzmus]
kapitálky	[ˈkapɪtaːlkɪ]
kapitálový	[ˈkapɪtaːloviː]
kapitálový trh	[kapɪtaːloviː tr̩x]
kapitálový účet	[kapɪtaːloviː uːt͡ʃɛt]
kapitán	/ˈkapɪˈtaːn/
kapitánův	[ˈkapɪtaːnuːf]
Kapitol	[ˈkapɪtol]
kapitola	[ˈkapɪtola]
kapitolka	[ˈkapɪtolka]
kapitula	[ˈkapɪtula]
kapitulace	[ˈkapɪtulat͡sɛ]
kapitulovat	[ˈkapɪtulovat]
kapka	[ˈkapka]
kaplan	[ˈkaplan]
kaplanův	[ˈkaplanuːf]
kaple	[ˈkaplɛ]
kaplička	[ˈkaplɪt͡ʃka]
kapoun	[ˈkapou̯n]
kapouní	[ˈkapou̯ɲiː]
kapr	[ˈkapr̩]
kapra	[ˈkapra]
kapradina	[ˈkapraɟɪna]
kaprál	[ˈkapraːl]
kapsa	[ˈkapsa]
kapsář	[ˈkapsaːr̝̊]
kapsička	[ˈkapsɪt͡ʃka]
kapsle	[ˈkapslɛ]
kapuce	[ˈkaput͡sɛ]
kapusta	/ˈkapusta/
kapusta kadeřavá	[kapusta kadɛr̝avaː]
kapybara	[ˈkapɪbara]
kapři	[ˈkapr̝̊ɪ]
kapří	[ˈkapr̝̊iː]
kapři si rybník nevypustí	[kapr̝̊ɪ sɪ rɪbɲiːk nɛvɪpusciː]
kapři si rybník sami nevypustí	[kapr̝̊ɪ sɪ rɪbɲiːk samɪ nɛvɪpusciː]
kapři si svůj rybník nevypustí	[kapr̝̊ɪ sɪ svuːj rɪbɲiːk nɛvɪpusciː]
kapřík	[ˈkapr̝̊iːk]
kára	[ˈkaːra]
karabáč	[ˈkarabaːt͡ʃ]
karabina	[ˈkarabɪna]
karanténa	[ˈkarantɛːna]
karanténní	[ˈkarantɛːɲiː]
karas	[ˈkaras]
kárat	[ˈkaːrat]
Karavanky	[ˈkaravaŋkɪ]
Karáčí	[ˈkaraːt͡ʃiː]
karbamid	[ˈkarbamɪt]
karbohydrát	[ˈkarboɦɪdraːt]
karbonát	[ˈkarbonaːt]
karboxylová kyselina	[karboksɪlovaː kɪsɛlɪna]
karcinom	[ˈkart͡sɪnom]
karcinom děložního hrdla	[kart͡sɪnom ɟɛloʒɲiːɦo ɦr̩dla]
karcinom děložního čípku	[kart͡sɪnom ɟɛloʒɲiːɦo t͡ʃiːpku]
kardie	[ˈkarɟɪɛ]
kardinál	[ˈkardɪnaːl]
kardinalita	[ˈkardɪnalɪta]
kardinální	[ˈkardɪnaːlɲiː]
kardinální číslo	[kardɪnaːlɲiː t͡ʃiːslo]
kardio-	[ˈkardɪo]
Karel	[ˈkarɛl]
karetní hra	[karɛtɲiː ɦra]
kari	/ˈkarɪ/
karikatura	[ˈkarɪkatura]
karikaturista	[ˈkarɪkaturɪsta]
karikovat	[ˈkarɪkovat]
Karina	[ˈkarɪna]
Karinin	[ˈkarɪɲɪn]
Karla	[ˈkarla]
Karlík	[ˈkarliːk]
Karlin	[ˈkarlɪn]
Karlíček	[ˈkarliːt͡ʃɛk]
Karlička	[ˈkarlɪt͡ʃka]
karlovarský	[ˈkarlovarskiː]
Karlův	[ˈkarluːf]
kárný	[ˈkaːrniː]
Karolína	[ˈkaroliːna]
Karolínin	[ˈkaroliːɲɪn]
Karolínka	[ˈkaroliːŋka]
karolinský	[ˈkarolɪnskiː]
karta	/ˈkarta/
kartáč	[ˈkartaːt͡ʃ]
kartáček	[ˈkartaːt͡ʃɛk]
kartézský	[ˈkartɛːskiː]
kartézský součin	[kartɛːskiː sou̯t͡ʃɪn]
kartička	[ˈkarcɪt͡ʃka]
kartotéka	[ˈkartotɛːka]
kartotéční	[ˈkartotɛːt͡ʃɲiː]
karty	[ˈkartɪ]
Karviná	[ˈkarvɪnaː]
káry	[ˈkaːrɪ]
kas	/kas/
kasa	[ˈkasa]
kasař	[ˈkasar̝̊]
kasička	[ˈkasɪt͡ʃka]
kastaněty	[ˈkastaɲɛtɪ]
kastrol	[ˈkastrol]
kastrovat	[ˈkastrovat]
kastrůlek	[ˈkastruːlɛk]
kat	[ˈkat]
kata	[Ëˆkata]
katabolismus	[ˈkatabolɪzmus]
Katalánec	[ˈkatalaːnɛt͡s]
Katalánsko	[ˈkatalaːnsko]
katalánský	[ˈkatalaːnskiː]
katalánština	[ˈkatalaːnʃcɪna]
katamaran	[ˈkatamaɾan]
Katar	[ˈkatar]
katar	[ˈkatar]
katarakt	[Ëˆkatarakt]
katarakta	[ˈkatarakta]
katarský	[ˈkatarskiː]
katarze	[ˈkatarzɛ]
Katařan	[ˈkatar̝an]
kate	[ˈkatɛ]
katech	[ˈkatɛx]
katecheta	[ˈkatɛxɛta]
kateder	/ˈkatɛdɛr/
katedra	/ˈkatɛdra/
kategorický	[ˈkatɛɡorɪt͡skiː]
kategorický imperativ	[katɛɡorɪt͡skiː ɪmpɛratɪf]
kategorizovat	[ˈkatɛɡorɪzovat]
katem	[ˈkatɛm]
Kateřina	[ˈkatɛr̝ɪna]
Kateřinin	[ˈkatɛr̝ɪɲɪn]
kati	[ˈkacɪ]
Katka	[ˈkatka]
katolický	[ˈkatolɪt͡skiː]
katolík	[ˈkatoliːk]
katolička	/katɔlɪtʃka/
katovi	[ˈkatovɪ]
katu	[Ëˆkatu]
katů	[ˈkatuː]
katům	[ˈkatuːm]
katův	[ˈkatuːf]
Katuška	[ˈkatuʃka]
katy	[ˈkatɪ]
Katčin	[ˈkat͡ʃɪn]
kauza	[ˈkau̯za]
kauzální	[ˈkau̯zaːlɲiː]
kauzálně	[ˈkau̯zaːlɲɛ]
káva	/ˈkaːva/
kavárna	/ˈkavaːrna/
kavárnička	[ˈkavaːrɲɪt͡ʃka]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
kavce	[ˈkaft͡sɛ]
kavek	[ˈkavɛk]
kaviár	/ˈkavɪ(j)aːr/
kávička	[ˈkaːvɪt͡ʃka]
kavka	/ˈkafka/
kavko	[ˈkafko]
kávovar	[ˈkaːvovar]
kávový	[ˈkaːvoviː]
kavyl	[ˈkavɪl]
kavče	[ˈkaft͡ʃɛ]
kavčí	[ˈkaft͡ʃiː]
kaz	/kas/
Kazach	[ˈkazax]
Kazachstán	[ˈkazaxstaːn]
kázán	[ˈkaːzaːn]
kázána	[ˈkaːzaːna]
kázáni	[ˈkaːzaːɲɪ]
kázání	[ˈkaːzaːɲiː]
kázáno	[ˈkaːzaːno]
kázány	[ˈkaːzaːnɪ]
kázat	[ˈkaːzat]
kázat vodu a pít víno	[kaːzat vodu apiːt viːno]
kazatel	[ˈkazatɛl]
kazatelna	[ˈkazatɛlna]
Kazaň	[ˈkazaɲ]
Kazaška	[ˈkazaʃka]
kazašský	[ˈkazaʃskiː]
kaze	[ˈkazɛ]
kazech	[ˈkazɛx]
kazem	[ˈkazɛm]
kázeň	[ˈkaːzɛɲ]
kázeňský	[ˈkaːzɛɲskiː]
kazí	[ˈkaziː]
kazíc	[ˈkaziːt͡s]
kazíce	[ˈkaziːt͡sɛ]
kazil	[ˈkazɪl]
kazila	[ˈkazɪla]
kazili	[ˈkazɪlɪ]
kazilo	[ˈkazɪlo]
kazily	[ˈkazɪlɪ]
kazím	[ˈkaziːm]
kazíme	[ˈkaziːmɛ]
Kazimír	[ˈkazɪmiːr]
kazisvět	[ˈkazɪsvjɛt]
kazit	/kazit/
kazíte	[ˈkaziːtɛ]
kazíš	[ˈkaziːʃ]
kazu	[Ëˆkazu]
kazů	[ˈkazuː]
kazům	[ˈkazuːm]
kazy	[ˈkazɪ]
káča	[ˈkaːt͡ʃa]
Káča	[ˈkaːt͡ʃa]
káčátko	/ˈkaːt͡ʃaːtko/
káče	/ˈkaːt͡ʃɛ/
kačena	[ˈkat͡ʃɛna]
Kačena	[ˈkat͡ʃɛna]
kačení	[ˈkat͡ʃɛɲiː]
Kačenka	[ˈkat͡ʃɛŋka]
kačenka	[ˈkat͡ʃɛŋka]
kačenka česká	[kat͡ʃɛŋka t͡ʃɛskaː]
kačer	/ˈkat͡ʃɛr/
Kačer Donald	/ˈkat͡ʃɛr ˈdonalt/
kačeří	[ˈkat͡ʃɛr̝iː]
kačka	/katʃka/
Kačka	[ˈkat͡ʃka]
káď	/kaːc/
Kaňa	[ˈkaɲa]
kaňon	[ˈkaɲon]
kaše	[ˈkaʃɛ]
kašel	[ˈkaʃɛl]
Kašgar	[ˈkaʒɡar]
kaši	[ˈkaʃɪ]
kašička	[ˈkaʃɪt͡ʃka]
kašlat	/ˈkaʃlat/
Kašmír	[ˈkaʃmiːr]
kašmírština	[ˈkaʃmiːrʃcɪna]
Kašmířan	[ˈkaʃmiːr̝an]
Kašpar	[ˈkaʃpar]
kaštan	/ˈkaʃtan/
kašubština	/kaʃʊpʃcɪna/
Káťa	[ˈkaːca]
každodenní	[ˈkaʒdodɛɲiː]
každopádně	[ˈkaʒdopaːdɲɛ]
každoroční	/ˈkaʒdɔˌrɔtʃɲiː/
každoročně	/ˈkaʒdɔˌrɔtʃɲɛ/
	/ˈkaʒdiː/
každý dobrý skutek je po zásluze potrestán	[kaʒdiː dobriː skutɛk jɛ po zaːsluzɛ potrɛstaːn]
každý svého štěstí strůjcem	[kaʒdiː svɛːɦo ʃcɛsciː struːjt͡sɛm]
káže	[ˈkaːʒɛ]
kažen	[ˈkaʒɛn]
kažena	[ˈkaʒɛna]
kaženi	[ˈkaʒɛɲɪ]
kaženo	[ˈkaʒɛno]
kaženy	[ˈkaʒɛnɪ]
kážeš	[ˈkaːʒɛʃ]
kážu	[ˈkaːʒu]
kbelík	[ˈɡbɛliːk]
kdákat	[ˈɡdaːkat]
kde	/ɡdɛ/
kde není žalobce, není soudce	[ɡdɛ nɛɲiː ʒalopt͡sɛ nɛɲiː sou̯tt͡sɛ]
kde to jsme	[ɡdɛ to jsmɛ]
kdekoli	/ˈɡdɛkolɪ/
kdekoliv	[ˈɡdɛkolɪf]
kdežto	/ˈɡdɛʃto/
kdo	/ɡdo/
kdo chce s vlky býti, musí s nimi výti	/ˈɡdɔ xt͡sɛ ˈzvl̩kɪ ˈbiːcɪ ˈmʊsiː ˈsɲɪmɪ ˈviːcɪ/
kdo chce, hledá způsob, kdo nechce, hledá důvod	[ˈɡdo ˈxt͡sɛ ǀ ˈɦlɛdaː ˈspuːsop ǀ ˈɡdo ˈnɛxt͡sɛ ǀ ˈɦlɛdaː ˈduːvot]
kdo chce, hledá způsoby, kdo nechce, hledá důvody	[ˈɡdo ˈxt͡sɛ ǀ ˈɦlɛdaː ˈspuːsobɪ ǀ ˈɡdo ˈnɛxt͡sɛ ǀ ˈɦlɛdaː ˈduːvodɪ]
kdo jinému jámu kopá, sám do ní padá	[ɡdo jɪnɛːmu jaːmu kopaː saːm do ɲiː padaː]
kdo si počká, ten se dočká	[ɡdo sɪ pot͡ʃkaː tɛn sɛ dot͡ʃkaː]
	[ˈɡdokolɪ]
	[ˈɡdokolɪf]
kdoule	[ˈɡdou̯lɛ]
kdouloň	[ˈɡdou̯loɲ]
kdy	/ɡdɪ/
kdyby	/ˈɡdɪbɪ/
kdyby něco	/ˈɡdɪbɪ ˈɲɛt͡sɔ/
kdykoli	[ˈɡdɪkolɪ]
kdykoliv	[ˈɡdɪkolɪf]
kdysi	[ˈɡdɪsɪ]
když	/ɡdɪʃ/
když jde o	[ɡdɪʃ jdɛ o]
ke	/kɛ/
kebule	[ˈkɛbulɛ]
kecám	[ˈkɛt͡saːm]
kecat	[ˈkɛt͡sat]
kedluben	[ˈkɛdlubɛn]
kejhák	[ˈkɛjɦaːk]
kel	[ˈkɛl]
kelímek	[ˈkɛliːmɛk]
Kelvinova stupnice	[kɛlvɪnova stupɲɪt͡sɛ]
kenotaf	/ˈkɛnɔtaf/
kentaur	[ˈkɛntau̯r]
kentauří	[ˈkɛntau̯r̝iː]
keplerovský	[ˈkɛplɛrofskiː]
kepr	[ˈkɛpr̩]
keptuška	[kɛptuʃka]
ker	/kɛr/
keramický	[ˈkɛramɪt͡skiː]
keramika	[ˈkɛramɪka]
keratitida	[ˈkɛratɪtɪda]
keratokonjunktivitida	[ˈkɛratokonjuŋktɪvɪtɪda]
Kerberos	[ˈkɛrbɛros]
kerblík	[ˈkɛrbliːk]
kérka	[ˈkɛːrka]
ketoacidóza	[ˈkɛtoat͡sɪdoːza]
ketóza	[ˈkɛtoːza]
ketština	[ˈkɛtʃcɪna]
kečuánský	[ˈkɛt͡ʃuaːnskiː]
kečuánština	[ˈkɛt͡ʃuaːnʃcɪna]
kečup	/ˈkɛt͡ʃup/
Keňa	/kɛɲa/
Keňan	[ˈkɛɲan]
Keňanka	[ˈkɛɲaŋka]
keňský	[ˈkɛɲskiː]
keř	/kɛr̝̊/
keřík	[ˈkɛr̝iːk]
keříček	[ˈkɛr̝iːt͡ʃɛk]
kešu	[ˈkɛʃu]
kešu oříšek	[kɛʃu or̝iːʃɛk]
kéž	/kɛːʃ/
kibicovat	[ˈkɪbɪt͡sovat]
kikirikí	[ˈkɪkɪrɪkiː]
kilák	[ˈkɪlaːk]
kilo	[ˈkɪlo]
kilobit	[ˈkɪlobɪt]
kilobyte	[ˈkɪlobajt]
kilogram	/ˈkɪloɡram/
kilojoule	[ˈkɪlodʒau̯l]
kilometr	/ˈkɪlomɛtr̩/
kilotuna	[ˈkɪlotuna]
kily	[ˈkɪlɪ]
kin	[ˈkɪn]
kina	[ˈkɪna]
kindoš	[ˈkɪndoʃ]
kinetický	[ˈkɪnɛtɪt͡skiː]
kino	/ˈkɪno/
kinu	[ˈkɪnu]
kině	[ˈkɪɲɛ]
kiwi	/ˈkɪvɪ/
Kišiněv	[ˈkɪʃɪɲɛf]
Kjóto	[ˈkjoːto]
klacek	[ˈklat͡sɛk]
klad	/ˈklat/
kláda	/ˈklaːda/
klade	/ˈkladɛ/
kladenský	[ˈkladɛnskiː]
Kladeňák	[ˈkladɛɲaːk]
kladina	[ˈklaɟɪna]
kladívko	[ˈklaɟiːfko]
kladivo	[ˈklaɟɪvo]
kladka	[ˈklatka]
kladkový	[ˈklatkoviː]
kladkový nerv	[klatkoviː nɛrf]
Kladno	[ˈkladno]
kladný	[ˈkladniː]
kladně	[ˈkladɲɛ]
Kladsko	[ˈklatsko]
klady a zápory	[kladɪ azaːporɪ]
kochaly	[ˈkoxalɪ]
