метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
числу́ опера́ндов	čislú operándov	[t͡ɕɪsˈlu ɐpʲɪˈrandəf]
куха́ркам	kuxárkam	[kʊˈxarkəm]
примени́	primení	[prʲɪmʲɪˈnʲi]
выма́нивало	vymánivalo	[vɨˈmanʲɪvələ]
поги́бните	pogíbnite	[pɐˈɡʲibnʲɪtʲe]
познако́мились	poznakómilisʹ	[pəznɐˈkomʲɪlʲɪsʲ]
озя́бнете	ozjábnete	[ɐˈzʲabnʲɪtʲe]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
австрали́йских	avstralíjskix	[ɐfstrɐˈlʲijskʲɪx]
вопреки́	voprekí	[vəprʲɪˈkʲi]
дау́рский	daúrskij	[dɐˈurskʲɪj]
потепле́вши	poteplévši	[pətʲɪˈplʲefʂɨ]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
подтвержу́	podtveržú	[pətːvʲɪrˈʐu]
конфу́зами	konfúzami	[kɐnˈfuzəmʲɪ]
му́дрствовавший	múdrstvovavšij	[ˈmudrstvəvəfʂɨj]
пузырьке́	puzyrʹké	[pʊzɨrʲˈkʲe]
воспо́льзовалось	vospólʹzovalosʹ	[vɐˈspolʲzəvələsʲ]
обрю́згши	obrjúzgši	[ɐˈbrʲuskʂɨ]
участи́ла	učastíla	[ʊt͡ɕɪˈsʲtʲilə]
загляну́в	zagljanúv	[zəɡlʲɪˈnuf]
абитурие́нтам	abiturijéntam, abituriɛ́ntam	[ɐbʲɪtʊrʲɪˈjentəm]
ста́ю	stáju	[ˈstajʊ]
па́ривши	párivši	[ˈparʲɪfʂɨ]
вымётывало	vymjótyvalo	[vɨˈmʲɵtɨvələ]
перебе́жчики	perebéžčiki	[pʲɪrʲɪˈbʲeɕːɪkʲɪ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
абажу́ре	abažúre	[ɐbɐˈʐurʲe]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
се́мплингом	sɛ́mplingom	[ˈsɛmplʲɪnɡəm]
го́рницы	górnicy	[ˈɡornʲɪt͡sɨ]
предви́дениях	predvídenijax	[prʲɪdˈvʲidʲɪnʲɪjəx]
наимену́йте	naimenújte	[nəɪmʲɪˈnujtʲe]
настра́ивалась	nastráivalasʹ	[nɐˈstraɪvələsʲ]
минима́льно	minimálʹno	[mʲɪnʲɪˈmalʲnə]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
умеща́ло	umeščálo	[ʊmʲɪˈɕːalə]
секу́ндою	sekúndoju	[sʲɪˈkundəjʊ]
профессу́ра	professúra	[prəfʲɪˈsurə]
мирр	mirr	[mʲir]
подключа́вши	podključávši	[pətklʲʉˈt͡ɕafʂɨ]
фабрикова́л	fabrikovál	[fəbrʲɪkɐˈval]
невзви́дите	nevzvídite	[nʲɪvzˈvʲidʲɪtʲe]
заку́поренный	zakúporennyj	[zɐˈkupərʲɪn(ː)ɨj]
тепло́	tepló	[tʲɪˈplo]
геморро́й	gemorrój	[ɡʲɪmɐˈroj]
абиоце́не	abiocéne	[ɐbʲɪɐˈt͡sɛnʲe]
фу-фу́!	fu-fú!	[fu ˈfu]
гонг	gong	[ɡonk]
самоуваже́нию	samouvažéniju	[səməʊvɐˈʐɛnʲɪjʊ]
опи́лка	opílka	[ɐˈpʲilkə]
пятиле́тий	pjatilétij	[pʲɪtʲɪˈlʲetʲɪj]
экзеку́циям	ekzɛkúcijam, ekzekúcijam	[ɪɡzɨˈkut͡sɨjəm]
са́харная ва́та	sáxarnaja váta	[ˈsaxərnəjə ˈvatə]
задви́нувшись	zadvínuvšisʹ	[zɐdˈvʲinʊfʂɨsʲ]
-сыла́ть	-sylátʹ	[sɨˈlatʲ]
по́мним	pómnim	[ˈpomnʲɪm]
ру́кколы	rúkkoly	[ˈrukəlɨ]
ссо́ря	ssórja	[ˈsːorʲə]
демонтаже́й	demontažéj	[dʲɪməntɐˈʐɛj]
то́чен	tóčen	[ˈtot͡ɕɪn]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
подсыпа́ешь	podsypáješʹ	[pət͡ssɨˈpa(j)ɪʂ]
катеро́в	kateróv	[kətʲɪˈrof]
спляши́	spljaší	[splʲɪˈʂɨ]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
засека́ли	zasekáli	[zəsʲɪˈkalʲɪ]
свое́й	svojéj	[svɐˈjej]
познава́вши	poznavávši	[pəznɐˈvafʂɨ]
гра́нт-эквивале́нтами	gránt-ekvivaléntami	[ˈɡrant ɪkvʲɪvɐˈlʲentəmʲɪ]
навёрстывали	navjórstyvali	[nɐˈvʲɵrstɨvəlʲɪ]
ра́ньше	ránʹše	[ˈranʲʂɨ]
пожела́ю	poželáju	[pəʐɨˈlajʊ]
перевозя́щий	perevozjáščij	[pʲɪrʲɪvɐˈzʲæɕːɪj]
поставля́ли	postavljáli	[pəstɐˈvlʲælʲɪ]
прихло́пнутый	prixlópnutyj	[prʲɪˈxlopnʊtɨj]
непосе́д	neposéd	[nʲɪpɐˈsʲet]
анале́ммой	analémmoj	[ɐnɐˈlʲem(ː)əj]
изъя́тии	izʺjátii	[ɪzˈjætʲɪɪ]
нагрева́ющийся	nagrevájuščijsja	[nəɡrʲɪˈvajʉɕːɪjsʲə]
астени́ей	astɛníjej	[ɐstɨˈnʲi(j)ɪj]
муэдзи́не	muedzíne	[mʊɪd͡zʲˈzʲinʲe]
заинтересова́лась	zainteresoválasʹ	[zəɪnʲtʲɪrʲɪsɐˈvaləsʲ]
вы́ступишь	výstupišʹ	[ˈvɨstʊpʲɪʂ]
одолжи́м	odolžím	[ɐdɐlˈʐɨm]
элити́зма	elitízma	[ɪlʲɪˈtʲizmə]
самовыраже́нием	samovyražénijem	[səməvɨrɐˈʐɛnʲɪ(j)ɪm]
автомати́ческой коро́бкой переключе́ния переда́ч	avtomatíčeskoj koróbkoj pereključénija peredáč	[ɐftəmɐˈtʲit͡ɕɪskəj kɐˈropkəj pʲɪrʲɪklʲʉˈt͡ɕenʲɪjə pʲɪrʲɪˈdat͡ɕ]
распою́т	raspojút	[rəspɐˈjut]
ожесточи́ла	ožestočíla	[ɐʐɨstɐˈt͡ɕilə]
вти́скалась	vtískalasʹ	[ˈftʲiskələsʲ]
отложи́тельные падежи́	otložítelʹnyje padeží	[ɐtlɐˈʐɨtʲɪlʲnɨje pədʲɪˈʐɨ]
даём	dajóm	[dɐˈjɵm]
конструи́рует	konstruírujet	[kənstrʊˈirʊ(j)ɪt]
голу́бчик	golúbčik	[ɡɐˈlupt͡ɕɪk]
козя́вками	kozjávkami	[kɐˈzʲafkəmʲɪ]
перевру́	perevrú	[pʲɪrʲɪˈvru]
затро́нут	zatrónut	[zɐˈtronʊt]
тради́цией	tradícijej	[trɐˈdʲit͡sɨ(j)ɪj]
отзовёт	otzovjót	[ɐd͡zzɐˈvʲɵt]
но́жкой	nóžkoj	[ˈnoʂkəj]
отмени́лось	otmenílosʹ	[ɐtmʲɪˈnʲiləsʲ]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
тыла́ми	tylámi	[tɨˈlamʲɪ]
служе́бниках	služébnikax	[slʊˈʐɛbnʲɪkəx]
взмыва́ем	vzmyvájem	[vzmɨˈva(j)ɪm]
романиза́цией	romanizácijej	[rəmənʲɪˈzat͡sɨ(j)ɪj]
моли́ть	molítʹ	[mɐˈlʲitʲ]
а́са	ása	[ˈasə]
зы́била	zýbila	[ˈzɨbʲɪlə]
ле́тние спя́чки	létnije spjáčki	[ˈlʲetʲnʲɪje ˈspʲæt͡ɕkʲɪ]
контра́стом	kontrástom	[kɐnˈtrastəm]
ра́зницу	ráznicu	[ˈrazʲnʲɪt͡sʊ]
Ашкена́зи	Aškenázi	[ɐʂkʲɪˈnazʲɪ]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
основа́телях	osnováteljax	[ɐsnɐˈvatʲɪlʲəx]
смека́ла	smekála	[smʲɪˈkalə]
Фри́гия	Frígija	[ˈfrʲiɡʲɪjə]
ле́звие	lézvije	[ˈlʲezvʲɪje]
ме́ткий	métkij	[ˈmʲetkʲɪj]
мертвечи́нами	mertvečínami	[mʲɪrtvʲɪˈt͡ɕinəmʲɪ]
прикри́киваю	prikríkivaju	[prʲɪˈkrʲikʲɪvəjʊ]
Грачёв	Gračóv	[ɡrɐˈt͡ɕɵf]
агре́ссию	agréssiju, agrɛ́ssiju	[ɐˈɡrʲesʲ(ː)ɪjʊ]
замкнёшься	zamknjóšʹsja	[zɐmkˈnʲɵʂsʲə]
смо́кчете	smókčete	[ˈsmokt͡ɕɪtʲe]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
полуго́ды	polugódy	[ˌpolʊˈɡodɨ]
охва́тами	oxvátami	[ɐxˈvatəmʲɪ]
зашипя́т	zašipját	[zəʂɨˈpʲat]
прикры́ть	prikrýtʹ	[prʲɪˈkrɨtʲ]
признаём	priznajóm	[prʲɪznɐˈjɵm]
исчисля́лось	isčisljálosʹ	[ɪɕt͡ɕɪs⁽ʲ⁾ˈlʲaləsʲ]
Матве́й	Matvéj	[mɐtˈvʲej]
бля́дью	bljádʹju	[ˈblʲædʲjʊ]
заста́вили	zastávili	[zɐˈstavʲɪlʲɪ]
гонг	gong	[ɡonk]
исполни́телях	ispolníteljax	[ɪspɐlˈnʲitʲɪlʲəx]
пневмати́ческим пистоле́там	pnevmatíčeskim pistolétam	[pnʲɪvmɐˈtʲit͡ɕɪskʲɪm pʲɪstɐˈlʲetəm]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
сдира́вший	sdirávšij	[zʲdʲɪˈrafʂɨj]
приника́в	prinikáv	[prʲɪnʲɪˈkaf]
влады́чицах	vladýčicax	[vlɐˈdɨt͡ɕɪt͡səx]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
нагру́дники	nagrúdniki	[nɐˈɡrudʲnʲɪkʲɪ]
дорыва́ю	doryváju	[dərɨˈvajʊ]
грани́шь	graníšʹ	[ɡrɐˈnʲiʂ]
регенера́цией	regenerácijej	[rʲɪɡʲɪnʲɪˈrat͡sɨ(j)ɪj]
отме́риваемый	otmérivajemyj	[ɐtˈmʲerʲɪvə(j)ɪmɨj]
мото́рную ло́дку	motórnuju lódku	[mɐˈtornʊjʊ ˈlotkʊ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
гре́нкам	grénkam	[ˈɡrʲenkəm]
проиндекси́руй	proindɛksíruj	[prəɪndɨkˈsʲirʊj]
отменя́ют	otmenjájut	[ɐtmʲɪˈnʲæjʊt]
педиатри́ей	pediatríjej	[pʲɪdʲɪɐˈtrʲi(j)ɪj]
оскорбле́ниями	oskorblénijami	[ɐskɐrˈblʲenʲɪjəmʲɪ]
концо́вки	koncóvki	[kɐnˈt͡sofkʲɪ]
зашифрова́ла	zašifrovála	[zəʂɨfrɐˈvalə]
отве́дываемый	otvédyvajemyj	[ɐtˈvʲedɨvə(j)ɪmɨj]
жму́рят	žmúrjat	[ˈʐmurʲət]
очища́ются	očiščájutsja	[ɐt͡ɕɪˈɕːæjʊt͡sə]
накрыва́вшийся	nakryvávšijsja	[nəkrɨˈvafʂɨjsʲə]
трави́нки	travínki	[trɐˈvʲinkʲɪ]
объя́тиями	obʺjátijami	[ɐbˈjætʲɪjəmʲɪ]
накра́шивайте	nakrášivajte	[nɐˈkraʂɨvəjtʲe]
шлифу́ешь	šlifúješʹ	[ʂlʲɪˈfu(j)ɪʂ]
изре́зываешь	izrézyvaješʹ	[ɪzˈrʲezɨvə(j)ɪʂ]
доезжа́ла	dojezžála	[də(j)ɪˈʐːalə]
произво́лов	proizvólov	[prəɪzˈvoləf]
ле́звие	lézvije	[ˈlʲezvʲɪje]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
достро́ится	dostróitsja	[dɐˈstroɪt͡sə]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
гла́се	gláse	[ˈɡlasʲe]
ба́тюшкой	bátjuškoj	[ˈbatʲʊʂkəj]
аттра́кции	attrákcii	[ɐˈtrakt͡sɨɪ]
генеало́гам	genealógam	[ɡʲɪnʲɪɐˈloɡəm]
влия́тельный	vlijátelʹnyj	[vlʲɪˈjætʲɪlʲnɨj]
спецна́зовцы	specnázovcy	[spʲɪt͡sˈnazəft͡sɨ]
ко́ржику	kóržiku	[ˈkorʐɨkʊ]
распла́влю	rasplávlju	[rɐˈsplavlʲʊ]
малайзи́ец	malajzíjec	[məlɐjˈzʲi(j)ɪt͡s]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
ко́ками	kókami	[ˈkokəmʲɪ]
господи́на	gospodína	[ɡəspɐˈdʲinə]
перебро́сьте	perebrósʹte	[pʲɪrʲɪˈbrosʲtʲe]
изво́ль	izvólʹ	[ɪzˈvolʲ]
ска́чиваемый	skáčivajemyj	[ˈskat͡ɕɪvə(j)ɪmɨj]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
полуботи́нки	polubotínki	[pəlʊbɐˈtʲinkʲɪ]
ареста́нтки	arestántki	[ɐrʲɪˈstantkʲɪ]
зна́мя	známja	[ˈznamʲə]
почти́ла	počtíla	[pɐt͡ɕˈtʲilə]
пожа́ловать	požálovatʹ	[pɐˈʐaləvətʲ]
амбигра́ммы	ambigrámmy	[ɐm⁽ʲ⁾bʲɪˈɡram(ː)ɨ]
атеи́зме	atɛízme	[ɐtɨˈizmʲe]
приостана́вливаешься	priostanávlivaješʹsja	[prʲɪəstɐˈnavlʲɪvə(j)ɪʂsʲə]
Хакода́те	Xakodátɛ	[xəkɐˈdatɛ]
разъёмов	razʺjómov	[rɐzˈjɵməf]
перебега́в	perebegáv	[pʲɪrʲɪbʲɪˈɡaf]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
воспе́в	vospév	[vɐˈspʲef]
приуро́чат	priuróčat	[prʲɪʊˈrot͡ɕət]
лока́уту	lokáutu	[lɐˈkaʊtʊ]
авата́рой	avatároj	[ɐvɐˈtarəj]
стрясло́сь	strjaslósʹ	[strʲɪsˈlosʲ]
перема́нивать	peremánivatʹ	[pʲɪrʲɪˈmanʲɪvətʲ]
куби́нок	kubínok	[kʊˈbʲinək]
бои́шься	boíšʹsja	[bɐˈiʂsʲə]
запрограмми́ровавший	zaprogrammírovavšij	[zəprəɡrɐˈmʲirəvəfʂɨj]
попусти́тельствами	popustítelʹstvami	[pəpʊˈsʲtʲitʲɪlʲstvəmʲɪ]
уда́чами	udáčami	[ʊˈdat͡ɕəmʲɪ]
о́лово	ólovo	[ˈoləvə]
шпи́лькою	špílʹkoju	[ˈʂpʲilʲkəjʊ]
назовём	nazovjóm	[nəzɐˈvʲɵm]
бедла́м	bedlám	[bʲɪdˈlam]
выве́триваться	vyvétrivatʹsja	[vɨˈvʲetrʲɪvət͡sə]
стрижа́ми	strižámi	[strʲɪˈʐamʲɪ]
гала́нку	galánku	[ɡɐˈlankʊ]
рыболо́вств	rybolóvstv	[rɨbɐˈlofstf]
надстра́ивал	nadstráival	[nɐt͡sˈtraɪvəl]
литинститу́та	litinstitúta	[ˌlʲitɨn⁽ʲ⁾sʲtʲɪˈtutə]
облицу́ют	oblicújut	[ɐblʲɪˈt͡sujʊt]
а́кциях	ákcijax	[ˈakt͡sɨjəx]
объе́здом	obʺjézdom	[ɐbˈjezdəm]
изму́чивавшись	izmúčivavšisʹ	[ɪzˈmut͡ɕɪvəfʂɨsʲ]
начина́ниях	načinánijax	[nət͡ɕɪˈnanʲɪjəx]
сформиру́йся	sformirújsja	[sfərmʲɪˈrujsʲə]
ошиба́ющийся	ošibájuščijsja	[ɐʂɨˈbajʉɕːɪjsʲə]
дестабилиза́ций	destabilizácij	[dʲɪstəbʲɪlʲɪˈzat͡sɨj]
месси́й	messíj	[mʲɪˈsʲij]
реаге́нте	reagénte	[rʲɪɐˈɡʲenʲtʲe]
сказу́емых	skazújemyx	[skɐˈzu(j)ɪmɨx]
осуществле́нии	osuščestvlénii	[ɐsʊɕːɪstˈvlʲenʲɪɪ]
пионерла́герем	pionerlágerem	[pʲɪɐˌnʲerˈlaɡʲɪrʲɪm]
пара́дное	parádnoje	[pɐˈradnəjə]
шхер	šxer	[ʂxʲer]
во́ин	vóin	[ˈvoɪn]
возражу́	vozražú	[vəzrɐˈʐu]
мешкови́ны	meškovíny	[mʲɪʂkɐˈvʲinɨ]
ока́нчивав	okánčivav	[ɐˈkanʲt͡ɕɪvəf]
кара́бкавшийся	karábkavšijsja	[kɐˈrapkəfʂɨjsʲə]
умчи́те	umčíte	[ʊmˈt͡ɕitʲe]
всу́нете	vsúnete	[ˈfsunʲɪtʲe]
ад	ad	[at]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
паллиати́вной по́мощью	palliatívnoj pómoščʹju	[pəlʲɪɐˈtʲivnəj ˈpoməɕːjʊ]
зану́д	zanúd	[zɐˈnut]
самостоя́тельности	samostojátelʹnosti	[səməstɐˈjætʲɪlʲnəsʲtʲɪ]
оговори́шься	ogovoríšʹsja	[ɐɡəvɐˈrʲiʂsʲə]
пои́мками	poímkami	[pɐˈimkəmʲɪ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
удоста́ивайтесь	udostáivajtesʹ	[ʊdɐˈstaɪvəjtʲɪsʲ]
калаша́ми	kalašámi	[kəlɐˈʂamʲɪ]
подраба́тывавши	podrabátyvavši	[pədrɐˈbatɨvəfʂɨ]
дарвини́сту	darvinístu	[dərvʲɪˈnʲistʊ]
автомати́змов	avtomatízmov	[ɐftəmɐˈtʲizməf]
ассири́йцев	assiríjcev	[ɐsʲɪˈrʲijt͡sɨf]
жра́ло	žrálo	[ˈʐralə]
помеча́в	pomečáv	[pəmʲɪˈt͡ɕaf]
диале́ктиками	dialéktikami	[dʲɪɐˈlʲektʲɪkəmʲɪ]
вода́	vodá	[vɐˈda]
помога́вший	pomogávšij	[pəmɐˈɡafʂɨj]
у́точкой	útočkoj	[ˈutət͡ɕkəj]
разде́лимся	razdélimsja	[rɐzʲˈdʲelʲɪmsʲə]
согра́ждане	sográždane	[sɐˈɡraʐdənʲe]
сопровожда́емся	soprovoždájemsja	[səprəvɐʐˈda(j)ɪmsʲə]
любо́вь к бли́жнему	ljubóvʹ k blížnemu	[lʲʊˈbovʲ ˈɡ‿blʲiʐnʲɪmʊ]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
руле́ткою	rulétkoju	[rʊˈlʲetkəjʊ]
атрибути́вы	atributívy	[ɐtrʲɪbʊˈtʲivɨ]
кларне́ты	klarnéty	[klɐrˈnʲetɨ]
гря́нувши	grjánuvši	[ˈɡrʲanʊfʂɨ]
борте́й	bortéj	[bɐrˈtʲej]
польстя́т	polʹstját	[pɐlʲˈsʲtʲat]
аппле́там	applétam	[ɐˈplʲetəm]
мнемо́никой	mnemónikoj	[mnʲɪˈmonʲɪkəj]
мя́гких зна́ков	mjáxkix znákov	[ˈmʲæxʲkʲɪɣ ˈznakəf]
пожива́ют	poživájut	[pəʐɨˈvajʊt]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
ле́звие	lézvije	[ˈlʲezvʲɪje]
архитекту́рам	arxitektúram	[ɐrxʲɪtʲɪkˈturəm]
го́пницею	gópniceju	[ˈɡopnʲɪt͡sɨjʊ]
медвежа́тники	medvežátniki	[mʲɪdvʲɪˈʐatʲnʲɪkʲɪ]
послу́шалась	poslúšalasʹ	[pɐsˈluʂələsʲ]
помо́щников	pomóščnikov	[pɐˈmoʂnʲɪkəf]
вожми́те	vožmíte	[vɐʐˈmʲitʲe]
нако́пленный	nakóplennyj	[nɐˈkoplʲɪn(ː)ɨj]
наводне́ниям	navodnénijam	[nəvɐdʲˈnʲenʲɪjəm]
подгоня́вши	podgonjávši	[pədɡɐˈnʲafʂɨ]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
ружье́ц	ružʹjéc	[rʊʐˈjet͡s]
сори́нки	sorínki	[sɐˈrʲinkʲɪ]
зага́дочно	zagádočno	[zɐˈɡadət͡ɕnə]
согласо́вываются	soglasóvyvajutsja	[səɡlɐˈsovɨvəjʊt͡sə]
луча́щийся	lučáščijsja	[lʊˈt͡ɕæɕːɪjsʲə]
гонг	gong	[ɡonk]
однообра́зиями	odnoobrázijami	[ɐdnɐɐˈbrazʲɪjəmʲɪ]
восьми́десяти пяти́	vosʹmídesjati pjatí	[vɐsʲˈmʲidʲɪsʲɪtʲɪ pʲɪˈtʲi]
предъявля́ясь	predʺjavljájasʹ	[prʲɪdjɪˈvlʲæ(j)ɪsʲ]
поре́зы	porézy	[pɐˈrʲezɨ]
копи́руем	kopírujem	[kɐˈpʲirʊ(j)ɪm]
затре́буете	zatrébujete	[zɐˈtrʲebʊ(j)ɪtʲe]
просвеща́ют	prosveščájut	[prəsvʲɪˈɕːæjʊt]
манипуля́ция	manipuljácija	[mənʲɪpʊˈlʲat͡sɨjə]
вкра́дывается	vkrádyvajetsja	[ˈfkradɨvə(j)ɪt͡sə]
распоряди́шься	rasporjadíšʹsja	[rəspərʲɪˈdʲiʂsʲə]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
сте́бель	stébelʹ	[ˈsʲtʲebʲɪlʲ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
обогаща́ло	obogaščálo	[ɐbəɡɐˈɕːalə]
нага́нами	nagánami	[nɐˈɡanəmʲɪ]
заключа́вшийся	zaključávšijsja	[zəklʲʉˈt͡ɕafʂɨjsʲə]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
восторга́л	vostorgál	[vəstɐrˈɡal]
аранжи́рую	aranžíruju	[ɐrɐnˈʐɨrʊjʊ]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
поголубе́ют	pogolubéjut	[pəɡəlʊˈbʲejʊt]
райце́нтр	rajcéntr	[rɐjˈt͡sɛntr]
абсорба́ты	absorbáty	[ɐpsɐrˈbatɨ]
стыде́	stydé	[stɨˈdʲe]
грибка́ стопы́	gribká stopý	[ɡrʲɪpˈka stɐˈpɨ]
надоеда́вший	nadojedávšij	[nədə(j)ɪˈdafʂɨj]
ни́келям	níkeljam	[ˈnʲikʲɪlʲəm]
приподними́тесь	pripodnimítesʹ	[prʲɪpədʲnʲɪˈmʲitʲɪsʲ]
объёмчикам	obʺjómčikam	[ɐbˈjɵmt͡ɕɪkəm]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
обогрева́вший	obogrevávšij	[ɐbəɡrʲɪˈvafʂɨj]
аплика́нтку	aplikántku	[ɐplʲɪˈkantkʊ]
де́вушках	dévuškax	[ˈdʲevʊʂkəx]
нага́йки	nagájki	[nɐˈɡajkʲɪ]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
тверитя́нин	tveritjánin	[tvʲɪrʲɪˈtʲænʲɪn]
костю́мчики	kostjúmčiki	[kɐˈsʲtʲumt͡ɕɪkʲɪ]
найдёшь	najdjóšʹ	[nɐjˈdʲɵʂ]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
гидра́влике	gidrávlike	[ɡʲɪˈdravlʲɪkʲe]
продли́лась	prodlílasʹ	[prɐdˈlʲiləsʲ]
брюшка́	brjušká	[brʲʊʂˈka]
вита́ющий	vitájuščij	[vʲɪˈtajʉɕːɪj]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
импрессиони́сты	impressionísty	[ɪmprʲɪsʲ(ː)ɪɐˈnʲistɨ]
параличе́	paraličé	[pərəlʲɪˈt͡ɕe]
дифференциа́лами	differenciálami	[dʲɪfʲɪrʲɪnt͡sɨˈaləmʲɪ]
неподви́жна	nepodvížna	[nʲɪpɐdˈvʲiʐnə]
авата́ре	avatáre	[ɐvɐˈtarʲe]
пистоле́тами-пулемётами То́мпсона	pistolétami-pulemjótami Tómpsona	[pʲɪstɐˈlʲetəmʲɪ pʊlʲɪˈmʲɵtəmʲɪ ˈtompsənə]
алама́нны	alamánny	[ɐlɐˈmanɨ]
нето́нущий	netónuščij	[nʲɪˈtonʊɕːɪj]
злу	zlu	[zlu]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
сольёшь	solʹjóšʹ	[sɐˈlʲjɵʂ]
обыщу́	obyščú	[ɐbɨˈɕːu]
отменя́ет	otmenjájet	[ɐtmʲɪˈnʲæ(j)ɪt]
банкро́там	bankrótam	[bɐnˈkrotəm]
навёртывайся	navjórtyvajsja	[nɐˈvʲɵrtɨvəjsʲə]
бе́йгле	bɛ́jgle	[ˈbɛjɡlʲe]
поприве́тствовали	poprivétstvovali	[pəprʲɪˈvʲet͡stvəvəlʲɪ]
выпя́чивающий	vypjáčivajuščij	[vɨˈpʲæt͡ɕɪvəjʉɕːɪj]
переска́занным	pereskázannym	[pʲɪrʲɪˈskazən(ː)ɨm]
покрови́тель	pokrovítelʹ	[pəkrɐˈvʲitʲɪlʲ]
обобще́ниях	obobščénijax	[ɐbɐpˈɕːenʲɪjəx]
уясня́ем	ujasnjájem	[ʊ(j)ɪsʲˈnʲæ(j)ɪm]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
опра́вки	oprávki	[ɐˈprafkʲɪ]
размеря́ла	razmerjála	[rəzmʲɪˈrʲalə]
рентгенизда́те	rentgenizdáte	[rʲɪnɡʲɪnʲɪzˈdatʲe]
созву́чиями	sozvúčijami	[sɐzˈvut͡ɕɪjəmʲɪ]
безры́бьях	bezrýbʹjax	[bʲɪzˈrɨb⁽ʲ⁾jəx]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
протрезве́ет	protrezvéjet	[prətrʲɪzˈvʲe(j)ɪt]
мо́лвите	mólvite	[ˈmolvʲɪtʲe]
поме́тите	pométite	[pɐˈmʲetʲɪtʲe]
го́готах	gógotax	[ˈɡoɡətəx]
кра́сных сморо́динах	krásnyx smoródinax	[ˈkrasnɨx smɐˈrodʲɪnəx]
обласка́ю	oblaskáju	[ɐblɐˈskajʊ]
протестова́вший	protestovávšij	[prətʲɪstɐˈvafʂɨj]
содоми́том	sodomítom	[sədɐˈmʲitəm]
вкла́дывать	vkládyvatʹ	[ˈfkladɨvətʲ]
сопровожде́ниям	soprovoždénijam	[səprəvɐʐˈdʲenʲɪjəm]
коло́дка	kolódka	[kɐˈlotkə]
